name,position,year,height,weight
Harry Boykoff,C,1951,2.0828,102.040816327
Harry Boykoff,C,1951,2.0828,102.040816327
Frankie Brian,PG,1951,1.8542,81.632653061
Walt Budko,PF,1951,1.9558,99.77324263
Art Burris,SF,1951,1.9558,99.77324263
Tommy Byrnes,SF,1951,1.905,79.365079365
Tommy Byrnes,SF,1951,1.905,79.365079365
Tommy Byrnes,SF,1951,1.905,79.365079365
Tommy Byrnes,SF,1951,1.905,79.365079365
Gerry Calabrese,PG,1951,1.8542,79.365079365
Bill Calhoun,SF,1951,1.905,81.632653061
Don Carlson,SG,1951,1.8288,77.097505669
Bob Carpenter,PF,1951,1.9558,90.702947846
Bob Carpenter,PF,1951,1.9558,90.702947846
Bob Carpenter,PF,1951,1.9558,90.702947846
Al Cervi*,,1951,,
Leroy Chollet,SF,1951,1.8796,86.167800454
Cal Christensen,PF,1951,1.9558,95.238095238
Nat Clifton*,,1951,,
Bill Closs,PF,1951,1.9558,88.43537415
Jack Coleman,PF,1951,2.0066,88.43537415
Chuck Cooper,SF,1951,1.9558,95.238095238
Ray Corley,PG,1951,1.8288,81.632653061
Ray Corley,PG,1951,1.8288,81.632653061
Ray Corley,PG,1951,1.8288,81.632653061
Bob Cousy*,,1951,,
Bob Davies*,,1951,,
Hank DeZonie,PF,1951,1.9812,97.505668934
Joe Dolhon,PG,1951,1.8288,79.365079365
Bob Donham,SG,1951,1.8796,86.167800454
Andy Duncan,PF,1951,1.9812,88.43537415
Dike Eddleman,SF,1951,1.905,85.714285714
Ray Ellefson,C,1951,2.032,104.308390023
Arnie Ferrin,SF,1951,1.8796,81.632653061
Larry Foust,PF,1951,2.0574,97.505668934
Joe Fulks*,,1951,,
Bill Gabor,SG,1951,1.8034,77.097505669
Harry Gallatin*,,1951,,
Vern Gardner,PF,1951,1.9558,90.702947846
Ed Gayda,SG,1951,1.9304,95.238095238
Chuck Gilmur,PF,1951,1.9304,102.040816327
Bud Grant,SF,1951,1.905,88.43537415
Alex Groza,C,1951,2.0066,98.866213152
Chick Halbert,C,1951,2.0574,102.040816327
Bruce Hale,SG,1951,1.8542,77.097505669
Alex Hannum*,,1951,,
John Hargis,SG,1951,1.8796,81.632653061
John Hargis,SG,1951,1.8796,81.632653061
John Hargis,SG,1951,1.8796,81.632653061
Bob Harris,PF,1951,2.0066,88.43537415
Bob Harris,PF,1951,2.0066,88.43537415
Bob Harris,PF,1951,2.0066,88.43537415
Bob Harrison,PG,1951,1.8542,86.167800454
Billy Hassett,PG,1951,1.8034,81.632653061
Kleggie Hermsen,PF,1951,2.0574,102.040816327
Sonny Hertzberg,PG,1951,1.778,79.365079365
Paul Hoffman,SG,1951,1.8796,88.43537415
Joe Holland,SF,1951,1.9304,83.900226757
Red Holzman*,,1951,,
Joe Hutton,PG,1951,1.8542,77.097505669
Gene James,SF,1951,1.9304,81.632653061
Gene James,SF,1951,1.9304,81.632653061
Gene James,SF,1951,1.9304,81.632653061
Tony Jaros,SF,1951,1.905,83.900226757
Arnie Johnson,PF,1951,1.9558,107.029478458
Ralph Johnson,PG,1951,1.8034,77.097505669
Wah Wah,,1951,,
Noble Jorgensen,C,1951,2.0574,103.401360544
Noble Jorgensen,C,1951,2.0574,103.401360544
Noble Jorgensen,C,1951,2.0574,103.401360544
George Kaftan,SF,1951,1.905,86.167800454
Jack Kerris,PF,1951,1.9812,97.505668934
Duane Klueh,PG,1951,1.905,79.365079365
Frank Kudelka,SG,1951,1.8796,87.528344671
Tony Lavelli,SF,1951,1.905,83.900226757
Bob Lavoy,PF,1951,2.0066,83.900226757
Ed Leede,SF,1951,1.905,83.900226757
Ron Livingstone,C,1951,2.0828,99.77324263
Earl Lloyd*,,1951,,
Don Lofgran,PF,1951,1.9558,90.702947846
John Logan,PG,1951,1.8796,79.365079365
Ray Lumpp,PG,1951,1.8542,80.725623583
Ed Macauley*,,1951,,
Johnny Macknowski,,1951,,
Norm Mager,SF,1951,1.9558,83.900226757
John Mahnken,C,1951,2.032,99.77324263
John Mahnken,C,1951,2.032,99.77324263
John Mahnken,C,1951,2.032,99.77324263
Slater Martin*,,1951,,
Ariel Maughan,SF,1951,1.9304,86.167800454
Dick McGuire*,,1951,,
Bones McKinney,PF,1951,1.9812,83.900226757
Bones McKinney,PF,1951,1.9812,83.900226757
Bones McKinney,PF,1951,1.9812,83.900226757
Mal McMullen,PF,1951,1.9558,95.238095238
Joe McNamee,PF,1951,1.9812,95.238095238
Dick Mehen,PF,1951,1.9558,88.43537415
Dick Mehen,PF,1951,1.9558,88.43537415
Dick Mehen,PF,1951,1.9558,88.43537415
Dick Mehen,PF,1951,1.9558,88.43537415
Ed Mikan,PF,1951,2.032,104.308390023
George Mikan*,,1951,,
Vern Mikkelsen*,,1951,,
Leo Mogus,PF,1951,1.9304,86.167800454
Chuck Mrazovich,SF,1951,1.9558,83.900226757
Ken Murray,SG,1951,1.8796,86.167800454
Jack Nichols,PF,1951,2.0066,100.680272109
Paul Noel,SF,1951,1.9304,83.900226757
Johnny Norlander,SF,1951,1.905,81.632653061
Dick O'Keefe,SG,1951,1.8796,83.900226757
Tommy O'Keefe,PG,1951,1.8796,83.900226757
Tommy O'Keefe,PG,1951,1.8796,83.900226757
Tommy O'Keefe,PG,1951,1.8796,83.900226757
Kevin O'Shea,PG,1951,1.8796,79.365079365
John Oldham,PG,1951,1.905,79.365079365
Don Otten,C,1951,2.0828,108.843537415
Don Otten,C,1951,2.0828,108.843537415
Don Otten,C,1951,2.0828,108.843537415
Don Otten,C,1951,2.0828,108.843537415
Easy Parham,SF,1951,1.905,90.702947846
Warren Perkins,SG,1951,1.905,86.167800454
Ed Peterson,C,1951,2.0574,99.77324263
